7.8111,35.299
9.1014,34.715
11.498,34.715
13.986,35.416
15.829,35.533
17.396,34.482
19.639,33.196
19.639,32.167
19.393,31.19
18.932,30.109
18.103,28.823
17.488,28
16.567,27.228
15.43,26.714
14.662,25.788
14.662,24.399
15.215,23.473
16.843,23.473
17.888,24.193
18.809,25.839
19.731,28.36
20.346,30.778
20.714,32.579
21.206,34.739
22.035,36.437
22.957,37.826
24.124,38.495
25.599,38.804
27.412,38.855
29.163,39.112
30.392,39.112
31.344,38.855
31.528,37.981
31.989,36.643
32.358,35.82
33.157,35.82
34.048,36.283
34.601,37.106
35.154,37.981
35.952,38.289
37.028,37.929
38.041,36.437
38.441,34.894
38.932,32.527
39.27,28.977
39.578,25.17
38.871,22.032
37.919,20.232
36.505,18.842
35.983,17.196
36.567,15.087
35.645,12.566
34.693,11.794
33.525,11.64
32.727,11.897
32.174,12.926
32.327,15.19
32.327,17.453
32.081,19.511
31.621,22.135
31.006,24.656
30.637,27.074
30.054,27.383
29.654,26.765
29.347,25.428
29.163,23.833
28.886,21.466
28.395,18.894
27.504,15.601
26.552,13.441
25.138,11.743
23.418,10.302
22.465,9.119
20.653,7.627
18.687,6.4437
16.628,5.1061
13.986,4.1801
11.774,3.5627
9.4086,3.1511
7.6267,3.2026
6.0292,3.0997
4.0937,4.3858
3.8786,6.3923
4.063,7.8328
4.7081,8.5016
5.8449,8.9132
7.0737,9.7363
8.0876,11.846
7.934,13.955
7.2273,15.19
6.0599,15.293
5.1997,15.601
4.9539,16.682
5.0768,18.585
6.1521,20.797
6.7358,23.01
5.937,25.17
4.616,25.479
3.2335,25.067
2.1275,25.222
1.6359,26.817
1.6974,28.566
2.3426,29.904
3.8172,30.058
5.0768,30.058
6.6436,30.264
7.1966,31.858
7.3502,33.402
