0,1,0,0.01
0,1,0,0.02
0,1,0,0.03
0.01,1,0,0.04
0.01,1,0,0.05
0.02,1,0,0.06
0.02,1,0,0.07
0.03,1,0,0.08
0.04,1,0,0.09
0.05,1,0,0.1
0.06,1,0,0.11
0.07,1,0,0.12
0.08,1,0,0.13
0.09,1,0,0.14
0.11,1,0,0.15
0.12,1,0,0.16
0.14,1,0,0.17
0.15,1,0,0.18
0.17,1,0,0.19
0.19,1,0,0.2
0.21,1,0,0.21
0.23,1,0,0.22
0.25,1,0,0.23
0.28,1,0,0.24
0.3,1,0,0.25
0.33,1,0,0.26
0.35,1,0,0.27
0.38,1,0,0.28
0.41,1,0,0.29
0.44,1,0,0.3
0.47,1,0,0.31
0.5,1,0,0.32
0.53,1,0,0.33
0.56,1,0,0.34
0.6,1,0,0.35
0.63,1,0,0.36
0.67,1,0,0.37
0.7,1,0,0.38
0.74,1,0,0.39
0.78,1,0,0.4
0.82,1,0,0.41
0.86,1,0,0.42
0.9,1,0,0.43
0.95,1,0,0.44
0.99,1,0,0.45
1.04,1,0,0.46
1.08,1,0,0.47
1.13,1,0,0.48
1.18,1,0,0.49
1.23,1,0,0.5
1.28,1,0,0.51
1.33,1,0,0.52
1.38,1,0,0.53
1.43,1,0,0.54
1.49,1,0,0.55
1.54,1,0,0.54
1.59,1,0,0.52
1.65,1,0,0.51
1.7,1,0,0.49
1.75,1,0,0.48
1.79,1,0,0.47
1.84,1,0,0.45
1.89,1,0,0.44
1.93,1,0,0.42
1.97,1,0,0.41
2.01,1,0,0.4
2.05,1,0,0.38
2.09,1,0,0.37
2.13,1,0,0.35
2.16,1,0,0.34
2.2,1,0,0.33
2.23,1,0,0.31
2.26,1,0,0.3
2.29,1,0,0.28
2.32,1,0,0.27
2.35,1,0,0.26
2.37,1,0,0.24
2.4,1,0,0.23
2.42,1,0,0.21
2.44,1,0,0.2
2.46,1,0,0.19
2.48,1,0,0.17
2.5,1,0,0.16
2.51,1,0,0.14
2.53,1,0,0.13
2.54,1,0,0.12
2.55,1,0,0.1
2.56,1,0,0.09
2.57,1,0,0.07
2.58,1,0,0.06
2.58,1,0,0.05
2.59,1,0,0.05
2.59,1,0,0.04
2.6,1,0,0.05
2.6,1,0,0.04
2.61,1,0,0.04
2.61,1,0,0.05
2.61,1,0,0.04
2.62,1,0,0.03
2.62,1,0,0.04
2.63,1,0,0.04
2.63,1,0,0.03
2.63,1,0,0.02
2.63,1,0,0.03
2.64,1,0,0.03
2.64,1,0,0.02
2.64,1,0,0.03
2.64,1,0,0.02
2.65,1,0,0.03
2.65,1,0,0.02
2.65,1,0,0.02
2.65,1,0,0.03
2.66,1,0,0.02
2.66,1,0,0.01
2.66,1,0,0.02
2.66,1,0,0.02
2.66,1,0,0.01
2.67,1,0,0.02
2.67,1,0,0.01
2.67,1,0,0.01
2.67,1,0,0.02
